structure,operation,n,time_seconds
UnsortedArray,Search,1000,0.000001333
UnsortedArray,Insert,1000,0.000000000
UnsortedArray,Delete,1000,0.000000000
UnsortedArray,Max,1000,0.000000667
UnsortedArray,Min,1000,0.000000667
UnsortedArray,Predecessor,1000,0.000000667
UnsortedArray,Successor,1000,0.000001333
SortedArray,Search,1000,0.000000000
SortedArray,Insert,1000,0.000000667
SortedArray,Delete,1000,0.000000000
SortedArray,Max,1000,0.000000000
SortedArray,Min,1000,0.000000000
SortedArray,Predecessor,1000,0.000000000
SortedArray,Successor,1000,0.000000000
SinglyLinkedUnsorted,Search,1000,0.000001333
SinglyLinkedUnsorted,Insert,1000,0.000000000
SinglyLinkedUnsorted,Delete,1000,0.000002000
SinglyLinkedUnsorted,Max,1000,0.000002667
SinglyLinkedUnsorted,Min,1000,0.000000667
SinglyLinkedUnsorted,Predecessor,1000,0.000002667
SinglyLinkedUnsorted,Successor,1000,0.000001333
SinglyLinkedSorted,Search,1000,0.000000667
SinglyLinkedSorted,Insert,1000,0.000002000
SinglyLinkedSorted,Delete,1000,0.000001333
SinglyLinkedSorted,Max,1000,0.000002000
SinglyLinkedSorted,Min,1000,0.000000000
SinglyLinkedSorted,Predecessor,1000,0.000001333
SinglyLinkedSorted,Successor,1000,0.000000000
DoublyLinkedUnsorted,Search,1000,0.000002000
DoublyLinkedUnsorted,Insert,1000,0.000000000
DoublyLinkedUnsorted,Delete,1000,0.000000000
DoublyLinkedUnsorted,Max,1000,0.000001333
DoublyLinkedUnsorted,Min,1000,0.000000667
DoublyLinkedUnsorted,Predecessor,1000,0.000002000
DoublyLinkedUnsorted,Successor,1000,0.000002000
DoublyLinkedSorted,Search,1000,0.000002000
DoublyLinkedSorted,Insert,1000,0.000001333
DoublyLinkedSorted,Delete,1000,0.000000000
DoublyLinkedSorted,Max,1000,0.000000000
DoublyLinkedSorted,Min,1000,0.000000000
DoublyLinkedSorted,Predecessor,1000,0.000000000
DoublyLinkedSorted,Successor,1000,0.000000000
UnsortedArray,Search,2000,0.000000667
UnsortedArray,Insert,2000,0.000000000
UnsortedArray,Delete,2000,0.000000000
UnsortedArray,Max,2000,0.000002000
UnsortedArray,Min,2000,0.000000000
UnsortedArray,Predecessor,2000,0.000002667
UnsortedArray,Successor,2000,0.000002000
SortedArray,Search,2000,0.000000000
SortedArray,Insert,2000,0.000002000
SortedArray,Delete,2000,0.000000000
SortedArray,Max,2000,0.000000000
SortedArray,Min,2000,0.000000000
SortedArray,Predecessor,2000,0.000000000
SortedArray,Successor,2000,0.000000000
SinglyLinkedUnsorted,Search,2000,0.000002667
SinglyLinkedUnsorted,Insert,2000,0.000000000
SinglyLinkedUnsorted,Delete,2000,0.000002667
SinglyLinkedUnsorted,Max,2000,0.000002667
SinglyLinkedUnsorted,Min,2000,0.000003333
SinglyLinkedUnsorted,Predecessor,2000,0.000003333
SinglyLinkedUnsorted,Successor,2000,0.000003333
