n,time_2way_sec,comparisons_2way,time_3way_sec,comparisons_3way,nlogn_ref
1000,0.000076,8699,0.000062,10540,9965.78
2000,0.000184,19417,0.000176,23384,21931.57
4000,0.000379,42812,0.000321,52405,47863.14
8000,0.000705,93658,0.000647,116031,103726.27
16000,0.001522,203268,0.001348,248314,223452.55
32000,0.003284,438610,0.002940,541525,478905.10
64000,0.006628,941100,0.005960,1173828,1021810.19
128000,0.013680,2010339,0.012751,2449681,2171620.39
256000,0.029509,4276772,0.025920,5305528,4599240.78
512000,0.061615,9065134,0.055116,11193702,9710481.55
1000000,0.131099,18674067,0.113617,23136692,19931568.57
2000000,0.274866,39349165,0.234182,49182343,41863137.14
