n,k,time_method1_sec,comparisons_method1,time_method2_sec,comparisons_method2,n_ref
200,64,0.001333,413365,0.000667,76658,200.00
400,64,0.003333,829700,0.001000,153471,400.00
800,64,0.004667,1661024,0.001667,307072,800.00
1600,64,0.009000,3324275,0.004000,614278,1600.00
3200,64,0.019000,6650849,0.007667,1228671,3200.00
6400,64,0.038667,13303923,0.014333,2457470,6400.00
12800,64,0.075000,26609554,0.025333,4915050,12800.00
25600,64,0.150333,53221105,0.044667,9830188,25600.00
51200,64,0.302000,106444087,0.083333,19660442,51200.00
102400,64,0.580000,212889222,0.145000,39321005,102400.00
