n,k,time_method1_sec,comparisons_method1,time_method2_sec,comparisons_method2,k2_ref,klogk_ref
500,2,0.000000,997,0.000000,997,2000.00,1000.00
500,4,0.000000,4490,0.000000,3993,8000.00,4000.00
500,8,0.000667,17464,0.000000,11985,32000.00,12000.00
500,16,0.000000,67375,0.000000,31967,128000.00,32000.00
500,32,0.001000,263006,0.000333,79937,512000.00,80000.00
500,64,0.002333,1037617,0.001000,191873,2048000.00,192000.00
500,128,0.010333,4120161,0.002000,447744,8192000.00,448000.00
500,256,0.047333,16418168,0.006667,1023514,32768000.00,1024000.00
500,512,0.181333,65530361,0.016000,2302972,131072000.00,2304000.00
500,1024,0.659000,261893489,0.028333,5118001,524288000.00,5120000.00
