n,k,time_method1_sec,comparisons_method1,time_method2_sec,comparisons_method2,n_ref
200,64,0.001667,413365,0.000333,76658,200.00
400,64,0.003000,829700,0.000667,153471,400.00
800,64,0.004333,1661024,0.001667,307072,800.00
1600,64,0.008000,3324275,0.004000,614278,1600.00
3200,64,0.019000,6650849,0.008333,1228671,3200.00
6400,64,0.037333,13303923,0.013333,2457470,6400.00
12800,64,0.072333,26609554,0.025667,4915050,12800.00
25600,64,0.147000,53221105,0.044667,9830188,25600.00
51200,64,0.286667,106444087,0.080000,19660442,51200.00
102400,64,0.547333,212889222,0.136667,39321005,102400.00
